fecha,barra,costo_marginal_usd_mwh
2026-01-01 00:00:00,Crucero220,47.44
2026-01-01 00:00:00,Charrua220,51.68
2026-01-01 00:00:00,Alto Jahuel220,61.0
2026-01-01 00:00:00,Cardones220,47.52
2026-01-01 00:00:00,Ancoa220,42.39
2026-01-01 01:00:00,Crucero220,34.58
2026-01-01 01:00:00,Charrua220,61.02
2026-01-01 01:00:00,Alto Jahuel220,52.47
2026-01-01 01:00:00,Cardones220,39.87
2026-01-01 01:00:00,Ancoa220,51.18
2026-01-01 02:00:00,Crucero220,52.04
2026-01-01 02:00:00,Charrua220,66.22
2026-01-01 02:00:00,Alto Jahuel220,55.53
2026-01-01 02:00:00,Cardones220,49.02
2026-01-01 02:00:00,Ancoa220,61.74
2026-01-01 03:00:00,Crucero220,38.13
2026-01-01 03:00:00,Charrua220,62.95
2026-01-01 03:00:00,Alto Jahuel220,47.33
2026-01-01 03:00:00,Cardones220,47.03
2026-01-01 03:00:00,Ancoa220,57.6
2026-01-01 04:00:00,Crucero220,43.52
2026-01-01 04:00:00,Charrua220,54.55
2026-01-01 04:00:00,Alto Jahuel220,64.78
2026-01-01 04:00:00,Cardones220,38.76
2026-01-01 04:00:00,Ancoa220,54.57
2026-01-01 05:00:00,Crucero220,42.18
2026-01-01 05:00:00,Charrua220,64.26
2026-01-01 05:00:00,Alto Jahuel220,57.92
2026-01-01 05:00:00,Cardones220,43.3
2026-01-01 05:00:00,Ancoa220,61.45
2026-01-01 06:00:00,Crucero220,62.13
2026-01-01 06:00:00,Charrua220,56.75
2026-01-01 06:00:00,Alto Jahuel220,50.9
2026-01-01 06:00:00,Cardones220,33.49
2026-01-01 06:00:00,Ancoa220,62.93
2026-01-01 07:00:00,Crucero220,54.03
2026-01-01 07:00:00,Charrua220,59.09
2026-01-01 07:00:00,Alto Jahuel220,48.28
2026-01-01 07:00:00,Cardones220,33.4
2026-01-01 07:00:00,Ancoa220,63.2
2026-01-01 08:00:00,Crucero220,50.95
2026-01-01 08:00:00,Charrua220,64.35
2026-01-01 08:00:00,Alto Jahuel220,49.68
2026-01-01 08:00:00,Cardones220,41.86
2026-01-01 08:00:00,Ancoa220,58.93
2026-01-01 09:00:00,Crucero220,46.75
2026-01-01 09:00:00,Charrua220,66.97
2026-01-01 09:00:00,Alto Jahuel220,56.79
2026-01-01 09:00:00,Cardones220,45.43
2026-01-01 09:00:00,Ancoa220,58.54
2026-01-01 10:00:00,Crucero220,47.31
2026-01-01 10:00:00,Charrua220,65.05
2026-01-01 10:00:00,Alto Jahuel220,43.34
2026-01-01 10:00:00,Cardones220,37.44
2026-01-01 10:00:00,Ancoa220,54.24
2026-01-01 11:00:00,Crucero220,39.89
2026-01-01 11:00:00,Charrua220,57.8
