fecha,barra_codigo,barra_nombre,version,costo_marginal_usd_mwh
2026-04-01 00:00:00,A.BLANCAS_____013,BA S/E ARENAS BLANCAS 15KV,REAL-DEF,59.481623333333324
2026-04-01 00:00:00,A.BLANCAS_____066,BA S/E ARENAS BLANCAS 66KV B1,REAL-DEF,59.41539
2026-04-01 00:00:00,A.CLARAS______066,,REAL-DEF,60.1848375
2026-04-01 00:00:00,A.DERIBERA____066,BA S/E ALONSO DE RIBERA 66KV BP1,REAL-DEF,58.337312499999996
2026-04-01 00:00:00,A.DERIBERA____154,BA S/E ALONSO DE RIBERA 154KV BP1,REAL-DEF,57.84126
2026-04-01 00:00:00,A.HOSPICIO____013,BA S/E ALTO HOSPICIO 13.8KV,REAL-DEF,64.018
2026-04-01 00:00:00,A.HOSPICIO____110,BA S/E ALTO HOSPICIO 110KV,REAL-DEF,63.9658575
2026-04-01 00:00:00,A.JAHUEL2_____220,BA S/E ALTO JAHUEL 220KV BP2,REAL-DEF,56.82095999999999
2026-04-01 00:00:00,A.JAHUEL______066,BA S/E ALTO JAHUEL 66KV,REAL-DEF,58.56091333333333
2026-04-01 00:00:00,A.JAHUEL______110,BA S/E ALTO JAHUEL 110KV BP1,REAL-DEF,58.70231
2026-04-01 00:00:00,A.JAHUEL______154,BA S/E ALTO JAHUEL 154KV BP,REAL-DEF,58.66426
2026-04-01 00:00:00,A.JAHUEL______220,BA S/E ALTO JAHUEL 220KV BP1,REAL-DEF,58.365497500000004
2026-04-01 00:00:00,A.MELIP_______110,BA S/E ALTO MELIPILLA 110KV BP1,REAL-DEF,57.784890000000004
2026-04-01 00:00:00,A.MELIP_______220,BA S/E ALTO MELIPILLA 220KV BP1 [NO_MOSTRAR],REAL-DEF,57.79616000000001
2026-04-01 00:00:00,A.NEGRAS______066,BA S/E AGUAS NEGRAS B1 66KV,REAL-DEF,60.1848375
2026-04-01 00:00:00,A.SANTA_______110,BA S/E AGUA SANTA 110KV BP1,REAL-DEF,56.6687625
2026-04-01 00:00:00,A.SANTA_______220,BA S/E AGUA SANTA 220KV BP1,REAL-DEF,56.7519075
2026-04-01 00:00:00,ACHUPALLAS____110,BA S/E TAP OFF ACHUPALLAS 110kV BP1,REAL-DEF,56.860420000000005
2026-04-01 00:00:00,ACONCAGUA_1___012,BA S/E ACONCAGUA 12KV,REAL-DEF,57.511495000000004
2026-04-01 00:00:00,ACONCAGUA_2___012,,REAL-DEF,57.511495000000004
2026-04-01 00:00:00,ACONCAGUA_____066,BA S/E ACONCAGUA 66KV,REAL-DEF,58.183705
2026-04-01 00:00:00,ACONCAGUA_____110,BA S/E ACONCAGUA 110KV BP1,REAL-DEF,57.64537
2026-04-01 00:00:00,AG.BLANCAS____013,BA S/E AGUAS BLANCAS 13.8KV,REAL-DEF,49.167325000000005
2026-04-01 00:00:00,AG.BLANCAS____066,BA S/E AGUAS BLANCAS 66KV [NO_MOSTRAR],REAL-DEF,49.330516
2026-04-01 00:00:00,AGUILA________066,BA S/E MONTE AGUILA (FFCC) 66KV BP1,REAL-DEF,57.36634
2026-04-01 00:00:00,AIHUAPI_______013,BA S/E AIHUAPI 13.8KV,REAL-DEF,56.005005
2026-04-01 00:00:00,AIHUAPI_______066,BA S/E AIHUAPI 66KV,REAL-DEF,56.003595000000004
2026-04-01 00:00:00,AIHUAPI_______110,BA S/E AIHUAPI 110KV BP1,REAL-DEF,55.88663
2026-04-01 00:00:00,AJAHUEL_______500,BA S/E ALTO JAHUEL 500KV BPA,REAL-DEF,57.959635
2026-04-01 00:00:00,ALAMEDA_______015,BA S/E ALAMEDA 15KV C1,REAL-DEF,61.320695
2026-04-01 00:00:00,ALAMEDA_______066,BA S/E ALAMEDA 66KV T1,REAL-DEF,61.38693333333333
2026-04-01 00:00:00,ALCONES_______023,BA S/E ALCONES BARRA 1 23KV,REAL-DEF,59.558663333333335
2026-04-01 00:00:00,ALCONES_______066,BA S/E ALCONES BARRA 66KV BP1-1 [NO_MOSTRAR],REAL-DEF,59.4576675
2026-04-01 00:00:00,ALFALFAL______110,,REAL-DEF,58.3091275
2026-04-01 00:00:00,ALFALFAL______220,BA S/E CENTRAL ALFALFAL 220KV BP1,REAL-DEF,58.2936275
2026-04-01 00:00:00,ALGARR.NORTE__013,BA S/E ALGARROBO NORTE 12kV BP1,REAL-DEF,57.7567025
2026-04-01 00:00:00,ALGARR.NORTE__066,BA S/E ALGARROBO NORTE 66kV BP1,REAL-DEF,57.73415333333333
2026-04-01 00:00:00,ALGARROBAL____220,BA S/E ALGARROBAL 220KV BP1,REAL-DEF,58.797666666666665
2026-04-01 00:00:00,ALGARROBO_____110,BA S/E ALGARROBO 110KV BP1,REAL-DEF,58.672715
2026-04-01 00:00:00,ALHUE_________023,BA S/E ALHUE 23KV,REAL-DEF,62.7059875
2026-04-01 00:00:00,ALHUE_________066,BA S/E ALHUE 66KV,REAL-DEF,62.501647500000004
2026-04-01 00:00:00,ALMEYDA_______033,BA S/E ALMEYDA BP1 33KV,REAL-DEF,57.48613
2026-04-01 00:00:00,ALMEYDA_______220,,REAL-DEF,59.6014125
