IdAccident,Diames,Diasemana,Mes,Año,Hora_aprox,Comuna,CUT_REG,CUT_COM,REGION_DPA,COMUNA_DPA,Lat,Lon,gravedad,es_fin_de_semana,franja_horaria,distancia_hospital_km
1588434,30,2,1,2024,12,PAINE,13,13404,METROPOLITANA DE SANTIAGO,PAINE,-33.784657,-70.745522,Leve,0,Tarde,2.29
1588448,25,4,1,2024,5,COLINA,13,13301,METROPOLITANA DE SANTIAGO,COLINA,-33.214538,-70.919281,Grave,0,Madrugada,6.032
1588449,25,4,1,2024,18,TILTIL,13,13303,METROPOLITANA DE SANTIAGO,TILTIL,-33.276841,-70.882245,Sin lesionados,0,Noche,0.642
1588450,26,5,1,2024,15,TILTIL,13,13303,METROPOLITANA DE SANTIAGO,TILTIL,-33.340599,-70.813152,Leve,0,Tarde,9.094
1588451,27,6,1,2024,7,COLINA,13,13301,METROPOLITANA DE SANTIAGO,COLINA,-33.1839,-70.895636,Sin lesionados,1,Mañana,1.994
1588452,29,1,1,2024,8,COLINA,13,13301,METROPOLITANA DE SANTIAGO,COLINA,-33.123611,-70.92421,Leve,0,Mañana,4.045
1588457,14,7,1,2024,9,NIQUEN,16,16303,ÑUBLE,ÑIQUÉN,-36.26044,-71.814301,Grave,1,Mañana,11.841
1588463,21,7,1,2024,21,GORBEA,9,9107,LA ARAUCANÍA,GORBEA,-39.186431,-72.589549,Leve,1,Noche,11.243
1588469,18,4,1,2024,22,SAN FABIAN,16,16304,ÑUBLE,SAN FABIÁN,-36.445338,-71.674882,Sin lesionados,0,Noche,25.539
1588470,18,4,1,2024,23,SAN CARLOS,16,16301,ÑUBLE,SAN CARLOS,-36.402329,-71.787507,Leve,0,Noche,15.706
1588473,19,5,1,2024,0,SAN NICOLAS,16,16305,ÑUBLE,SAN NICOLÁS,-36.51117,-72.1945,Sin lesionados,0,Madrugada,13.633
1588474,20,6,1,2024,21,SAN NICOLAS,16,16305,ÑUBLE,SAN NICOLÁS,-36.485926,-72.251987,Leve,1,Noche,19.058
1588476,21,7,1,2024,23,SAN CARLOS,16,16301,ÑUBLE,SAN CARLOS,-36.455202,-71.703988,Sin lesionados,1,Noche,23.05
1588482,1,4,2,2024,21,RANCAGUA,6,6101,LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,-34.11322,-70.723814,Sin lesionados,0,Noche,5.169
1588484,23,2,1,2024,20,SAN CARLOS,16,16301,ÑUBLE,SAN CARLOS,-36.495836,-72.030362,Sin lesionados,0,Noche,9.698
1588486,26,5,1,2024,23,SAN NICOLAS,16,16305,ÑUBLE,SAN NICOLÁS,-36.515735,-72.163355,Sin lesionados,0,Noche,11.497
1588487,27,6,1,2024,15,NIQUEN,16,16303,ÑUBLE,ÑIQUÉN,-36.402329,-71.787507,Sin lesionados,1,Tarde,15.706
1588488,27,6,1,2024,17,NIQUEN,16,16303,ÑUBLE,ÑIQUÉN,-36.320552,-71.811602,Leve,1,Tarde,17.973
1588489,28,7,1,2024,11,NIQUEN,16,16303,ÑUBLE,ÑIQUÉN,-36.315965,-71.792043,Leve,1,Mañana,18.167
1588490,28,7,1,2024,19,SAN NICOLAS,16,16305,ÑUBLE,SAN NICOLÁS,-36.521707,-72.077326,Leve,1,Noche,8.917
1588494,30,2,1,2024,22,CAMARONES,15,15102,ARICA Y PARINACOTA,CAMARONES,-18.95905,-70.035096,Grave,0,Noche,60.484
1588498,3,6,2,2024,14,HIJUELAS,5,5503,VALPARAÍSO,HIJUELAS,-32.790126,-71.16584,Sin lesionados,1,Tarde,1.651
1588501,1,4,2,2024,8,FREIRE,9,9105,LA ARAUCANÍA,FREIRE,-38.837108,-72.62111,Grave,0,Mañana,6.295
1588503,22,1,1,2024,14,SIERRA GORDA,2,2103,ANTOFAGASTA,SIERRA GORDA,-23.325769,-69.829128,Sin lesionados,0,Tarde,62.129
1588509,13,6,1,2024,9,PELLUHUE,7,7203,MAULE,PELLUHUE,-35.815627,-72.524136,Sin lesionados,1,Mañana,8.482
1588511,23,2,1,2024,15,SIERRA GORDA,2,2103,ANTOFAGASTA,SIERRA GORDA,-23.118759,-69.612784,Sin lesionados,0,Tarde,85.253
1588513,31,3,1,2024,11,COQUIMBO,4,4102,COQUIMBO,COQUIMBO,-30.389417,-71.440229,Sin lesionados,0,Mañana,15.444
1588515,23,2,1,2024,17,SIERRA GORDA,2,2103,ANTOFAGASTA,SIERRA GORDA,-23.078516,-69.591123,Leve,0,Tarde,82.306
1588519,2,5,2,2024,23,QUILACO,8,8308,BIOBÍO,QUILACO,-37.714295,-71.898327,Fatal,0,Noche,11.619
1588520,1,4,2,2024,3,FREIRE,9,9105,LA ARAUCANÍA,FREIRE,-38.971035,-72.71656,Leve,0,Madrugada,6.595
1588521,10,3,1,2024,11,NANCAGUA,6,6305,LIBERTADOR GENERAL BERNARDO O'HIGGINS,NANCAGUA,-34.645737,-71.155598,Leve,0,Mañana,4.485
1588522,30,2,1,2024,15,COQUIMBO,4,4102,COQUIMBO,COQUIMBO,-29.954705,-71.295342,Leve,0,Tarde,3.889
1588524,1,4,2,2024,5,COQUIMBO,4,4102,COQUIMBO,COQUIMBO,-29.979196,-71.347561,Sin lesionados,0,Madrugada,1.584
1588529,2,5,2,2024,19,PITRUFQUEN,9,9114,LA ARAUCANÍA,PITRUFQUÉN,-39.03441,-72.845711,Leve,0,Noche,17.259
1588532,4,7,2,2024,3,CALERA,5,5502,VALPARAÍSO,CALERA,-32.763727,-71.193829,Fatal,1,Madrugada,3.081
1588540,11,4,1,2024,17,CORONEL,8,8102,BIOBÍO,CORONEL,-37.001227,-73.137085,Grave,0,Tarde,3.0
1588543,17,3,1,2024,11,CHIMBARONGO,6,6303,LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,-34.749854,-71.041177,Sin lesionados,0,Mañana,5.276
1588545,20,6,1,2024,11,RETIRO,7,7405,MAULE,RETIRO,-36.056521,-71.773809,Sin lesionados,1,Mañana,1.241
1588547,27,6,1,2024,2,NANCAGUA,6,6305,LIBERTADOR GENERAL BERNARDO O'HIGGINS,NANCAGUA,-34.653049,-71.181148,Leve,1,Madrugada,2.162
1588551,2,5,2,2024,16,SAGRADA FAMILIA,7,7307,MAULE,SAGRADA FAMILIA,-35.023224,-71.432064,Leve,0,Tarde,15.238
1588555,17,3,1,2024,8,SAN FERNANDO,6,6301,LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN FERNANDO,-34.566508,-70.970071,Leve,0,Mañana,2.185
1588557,22,1,1,2024,15,PARRAL,7,7404,MAULE,PARRAL,-36.148509,-71.811727,Sin lesionados,0,Tarde,0.775
1588559,3,6,2,2024,23,MOLINA,7,7304,MAULE,MOLINA,-35.073601,-71.302395,Sin lesionados,1,Noche,3.869
1588566,19,5,1,2024,19,CURANILAHUE,8,8205,BIOBÍO,CURANILAHUE,-37.347463,-73.316459,Sin lesionados,0,Noche,10.732
1588568,3,6,2,2024,9,SAGRADA FAMILIA,7,7307,MAULE,SAGRADA FAMILIA,-35.029444,-71.250376,Sin lesionados,1,Mañana,4.594
1588569,4,7,2,2024,17,SAGRADA FAMILIA,7,7307,MAULE,SAGRADA FAMILIA,-35.074537,-71.294189,Leve,1,Tarde,3.725
1588570,26,5,1,2024,2,YUNGAY,16,16109,ÑUBLE,YUNGAY,-37.10079,-71.997067,Leve,0,Madrugada,16.244
1588573,27,6,1,2024,17,YUNGAY,16,16109,ÑUBLE,YUNGAY,-37.137763,-72.010976,Leve,1,Tarde,12.911
1588574,26,5,1,2024,13,CHEPICA,6,6302,LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHÉPICA,-34.77748,-71.171354,Leve,0,Tarde,10.402
1588576,23,2,1,2024,14,LOS ANGELES,8,8301,BIOBÍO,LOS ANGELES,-37.497568,-72.319907,Sin lesionados,0,Tarde,3.673
1588578,27,6,1,2024,20,EL CARMEN,16,16104,ÑUBLE,EL CARMEN,-36.899108,-72.075829,Leve,1,Noche,11.839
1588583,29,1,1,2024,3,YUNGAY,16,16109,ÑUBLE,YUNGAY,-37.122339,-71.94766,Leve,0,Madrugada,13.118
1588587,30,2,1,2024,16,EL CARMEN,16,16104,ÑUBLE,EL CARMEN,-36.896352,-72.042747,Leve,0,Tarde,10.915
1588588,30,2,1,2024,17,CUNCO,9,9103,LA ARAUCANÍA,CUNCO,-38.980981,-72.109269,Leve,0,Tarde,8.332
1588600,19,5,1,2024,14,NANCAGUA,6,6305,LIBERTADOR GENERAL BERNARDO O'HIGGINS,NANCAGUA,-34.655519,-71.213471,Sin lesionados,0,Tarde,1.06
1588605,2,5,2,2024,19,PORVENIR,12,12301,MAGALLANES Y DE LA ANTÁRTICA CHILENA,PORVENIR,-53.508234,-69.333764,Leve,0,Noche,71.803
1588611,24,3,1,2024,17,PARRAL,7,7404,MAULE,PARRAL,-36.171192,-71.710397,Sin lesionados,0,Tarde,9.839
1588613,4,7,2,2024,12,CARAHUE,9,9102,LA ARAUCANÍA,CARAHUE,-38.755861,-72.638424,Fatal,1,Tarde,2.29
1588624,4,7,2,2024,1,LA UNION,14,14201,LOS RÍOS,LA UNIÓN,-40.213859,-72.812895,Fatal,1,Madrugada,16.463
1588626,4,7,2,2024,1,COQUIMBO,4,4102,COQUIMBO,COQUIMBO,-30.270283,-71.483792,Fatal,1,Madrugada,1.578
1588628,29,1,1,2024,11,SAN CARLOS,16,16301,ÑUBLE,SAN CARLOS,-36.443862,-71.969682,Sin lesionados,0,Mañana,1.813
1588631,4,7,2,2024,1,OSORNO,10,10301,LOS LAGOS,OSORNO,-40.555904,-72.970106,Fatal,1,Madrugada,13.065
1588632,25,4,1,2024,15,RETIRO,7,7405,MAULE,RETIRO,-36.158475,-71.739496,Sin lesionados,0,Tarde,6.921
1588639,25,4,1,2024,11,NANCAGUA,6,6305,LIBERTADOR GENERAL BERNARDO O'HIGGINS,NANCAGUA,-34.685278,-71.211999,Grave,0,Mañana,4.029
1588640,26,5,1,2024,18,PALMILLA,6,6306,LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,-34.602151,-71.361598,Sin lesionados,0,Noche,3.634
1588642,29,1,1,2024,6,SAN CARLOS,16,16301,ÑUBLE,SAN CARLOS,-36.462373,-71.745336,Leve,0,Mañana,19.517
1588649,30,2,1,2024,11,SAN CARLOS,16,16301,ÑUBLE,SAN CARLOS,-36.423264,-72.005403,Sin lesionados,0,Mañana,4.15
1588652,25,4,1,2024,15,RETIRO,7,7405,MAULE,RETIRO,-36.132576,-71.770006,Leve,0,Tarde,4.057
1588658,27,6,1,2024,11,RETIRO,7,7405,MAULE,RETIRO,-36.000074,-71.719484,Leve,1,Mañana,4.527
1588665,31,3,1,2024,2,SAN PEDRO,13,13505,METROPOLITANA DE SANTIAGO,SAN PEDRO,-33.996482,-71.39654,Leve,0,Madrugada,33.381
1588666,3,6,2,2024,10,SAN RAFAEL,7,7110,MAULE,SAN RAFAEL,-35.316346,-71.53478,Leve,1,Mañana,10.893
1588690,2,5,2,2024,2,LONGAVI,7,7403,MAULE,LONGAVÍ,-35.97782,-71.700647,Fatal,0,Madrugada,1.626
