barra_codigo,barra_nombre,region
A.BLANCAS_____013,BA S/E ARENAS BLANCAS 15KV,Desconocida
A.BLANCAS_____066,BA S/E ARENAS BLANCAS 66KV B1,Desconocida
A.CLARAS______066,,Desconocida
A.DERIBERA____066,BA S/E ALONSO DE RIBERA 66KV BP1,Desconocida
A.DERIBERA____154,BA S/E ALONSO DE RIBERA 154KV BP1,Desconocida
A.HOSPICIO____013,BA S/E ALTO HOSPICIO 13.8KV,Desconocida
A.HOSPICIO____110,BA S/E ALTO HOSPICIO 110KV,Desconocida
A.JAHUEL2_____220,BA S/E ALTO JAHUEL 220KV BP2,Metropolitana
A.JAHUEL______066,BA S/E ALTO JAHUEL 66KV,Metropolitana
A.JAHUEL______110,BA S/E ALTO JAHUEL 110KV BP1,Metropolitana
A.JAHUEL______154,BA S/E ALTO JAHUEL 154KV BP,Metropolitana
A.JAHUEL______220,BA S/E ALTO JAHUEL 220KV BP1,Metropolitana
A.MELIP_______110,BA S/E ALTO MELIPILLA 110KV BP1,Desconocida
A.MELIP_______220,BA S/E ALTO MELIPILLA 220KV BP1 [NO_MOSTRAR],Desconocida
A.NEGRAS______066,BA S/E AGUAS NEGRAS B1 66KV,Desconocida
A.SANTA_______110,BA S/E AGUA SANTA 110KV BP1,Desconocida
A.SANTA_______220,BA S/E AGUA SANTA 220KV BP1,Desconocida
ACHUPALLAS____110,BA S/E TAP OFF ACHUPALLAS 110kV BP1,Desconocida
ACONCAGUA_1___012,BA S/E ACONCAGUA 12KV,Desconocida
ACONCAGUA_2___012,,Desconocida
ACONCAGUA_____066,BA S/E ACONCAGUA 66KV,Desconocida
ACONCAGUA_____110,BA S/E ACONCAGUA 110KV BP1,Desconocida
AG.BLANCAS____013,BA S/E AGUAS BLANCAS 13.8KV,Desconocida
AG.BLANCAS____066,BA S/E AGUAS BLANCAS 66KV [NO_MOSTRAR],Desconocida
AGUILA________066,BA S/E MONTE AGUILA (FFCC) 66KV BP1,Desconocida
AIHUAPI_______013,BA S/E AIHUAPI 13.8KV,Desconocida
AIHUAPI_______066,BA S/E AIHUAPI 66KV,Desconocida
AIHUAPI_______110,BA S/E AIHUAPI 110KV BP1,Desconocida
AJAHUEL_______500,BA S/E ALTO JAHUEL 500KV BPA,Metropolitana
ALAMEDA_______015,BA S/E ALAMEDA 15KV C1,Desconocida
ALAMEDA_______066,BA S/E ALAMEDA 66KV T1,Desconocida
ALCONES_______023,BA S/E ALCONES BARRA 1 23KV,Desconocida
ALCONES_______066,BA S/E ALCONES BARRA 66KV BP1-1 [NO_MOSTRAR],Desconocida
ALFALFAL______110,,Desconocida
ALFALFAL______220,BA S/E CENTRAL ALFALFAL 220KV BP1,Desconocida
ALGARR.NORTE__013,BA S/E ALGARROBO NORTE 12kV BP1,Desconocida
ALGARR.NORTE__066,BA S/E ALGARROBO NORTE 66kV BP1,Desconocida
ALGARROBAL____220,BA S/E ALGARROBAL 220KV BP1,Desconocida
ALGARROBO_____110,BA S/E ALGARROBO 110KV BP1,Desconocida
ALHUE_________023,BA S/E ALHUE 23KV,Desconocida
ALHUE_________066,BA S/E ALHUE 66KV,Desconocida
ALMEYDA_______033,BA S/E ALMEYDA BP1 33KV,Desconocida
ALMEYDA_______220,,Desconocida
ALTAMIRANO____013,BA S/E ALTAMIRANO 12KV BP1,Desconocida
ALTAMIRANO____110,BA S/E ALTAMIRANO 110KV BP1,Desconocida
ALTODCARMEN___013,BA S/E ALTO DEL CARMEN 13.8KV BP1-S1,Desconocida
ALTODCARMEN___110,BA S/E ALTO DEL CARMEN 110KV BP1,Desconocida
ALTONORTE_____110,BA S/E ALTO NORTE 110KV BP,Desconocida
ALTO_BONITO___023,BA S/E ALTO BONITO 23kV BP1-1,Desconocida
ALTO_BONITO___110,BA S/E ALTO BONITO 110KV BP1,Desconocida
ALTO_MAIPO____110,,Metropolitana
AMARGA________220,BA S/E AGUA AMARGA 220kV BP1,Desconocida
ANA_MARIA_____220,BA S/E ANA MARIA 220KV BP1,Desconocida
ANCOA_________013,BA S/E ANCOA 13.8KV,Desconocida
ANCOA_________220,BA S/E ANCOA 220KV BP1,Desconocida
ANCOA_________500,BA S/E ANCOA 500KV BP1,Desconocida
ANCUD_________013,BA S/E ANCUD 23KV,Desconocida
ANCUD_________110,BA S/E ANCUD 110KV BP1,Desconocida
ANDACOLLO_____013,BA S/E ANDACOLLO 13.8KV BP1,Desconocida
ANDACOLLO_____066,BA S/E ANDACOLLO 66KV BP1,Desconocida
ANDALIEN______013,BA S/E ANDALIEN 15KV C1,Desconocida
ANDALIEN______066,BA S/E ANDALIEN 66KV SECCION 1,Desconocida
ANDES_SNG_____023,BA S/E ANDES 23KV ( BESS ),Desconocida
ANDES_SNG_____220,BA S/E ANDES (AES ANDES) 220KV BP1,Desconocida
ANDES_SNG_____345,BA S/E ANDES (AES ANDES) 345KV BP1,Desconocida
ANDES_________013,BA S/E ANDES 12KV BP4,Desconocida
ANDES_________110,BA S/E ANDES 110KV BP1,Desconocida
ANGAMOS_______220,BA S/E ANGAMOS 220KV BP1,Desconocida
ANGOL_________013,BA S/E ANGOL 13.2KV,La Araucanía
ANGOL_________023,BA S/E ANGOL 23KV B1,La Araucanía
ANGOL_________066,BA S/E ANGOL 66 kV BP1,La Araucanía
ANGOSTURA_____013,,Desconocida
ANGOSTURA_____220,BA S/E GIS ANGOSTURA 220KV,Desconocida
ANTILLANCA____066,,Desconocida
ANTILLANCA____110,BA S/E ANTILLANCA 110KV BP1,Desconocida
ANTILLANCA____220,BA S/E ANTILLANCA 220KV BP1,Desconocida
ANTOFAGASTA___013,BA S/E ANTOFAGASTA 13.8KV BP1,Antofagasta
ANTOFAGASTA___110,BA S/E ANTOFAGASTA 110KV BP1,Antofagasta
ANTUCOYA______023,BA S/E ANTUCOYA 23KV BP,Desconocida
ANTUCOYA______220,BA S/E ANTUCOYA 220KV BP,Desconocida
ANTUCO________013,BA S/E ANTUCO 13.8KV B1 SECCION 1,Desconocida
