Periodo,anio,trimestre,region,pib_millones_clp
2013-03-01,2013,1,Antofagasta,3685.1189010479
2013-06-01,2013,2,Antofagasta,3869.7920355716
2013-09-01,2013,3,Antofagasta,3752.1905754364
2013-12-01,2013,4,Antofagasta,4057.679834899
2014-03-01,2014,1,Antofagasta,3762.9250333834
2014-06-01,2014,2,Antofagasta,4156.2340624138
2014-09-01,2014,3,Antofagasta,3844.8321647261
2014-12-01,2014,4,Antofagasta,4295.8296628718
2015-03-01,2015,1,Antofagasta,4038.6514372301
2015-06-01,2015,2,Antofagasta,4135.8607557255
2015-09-01,2015,3,Antofagasta,3839.8297218129
2015-12-01,2015,4,Antofagasta,4049.8606637305
2016-03-01,2016,1,Antofagasta,3821.6244382145
2016-06-01,2016,2,Antofagasta,3894.8484242745
2016-09-01,2016,3,Antofagasta,3689.9155365536
2016-12-01,2016,4,Antofagasta,3936.0410782602
2017-03-01,2017,1,Antofagasta,3226.3882239608
2017-06-01,2017,2,Antofagasta,3627.7413455278
2017-09-01,2017,3,Antofagasta,3858.929561046
2017-12-01,2017,4,Antofagasta,4163.8627608226
2018-03-01,2018,1,Antofagasta,3921.9308992553
2018-06-01,2018,2,Antofagasta,3907.6407832228
2018-09-01,2018,3,Antofagasta,3872.6964801846
2018-12-01,2018,4,Antofagasta,4271.891064157
2019-03-01,2019,1,Antofagasta,3741.3783242103
2019-06-01,2019,2,Antofagasta,3936.8514329652
2019-09-01,2019,3,Antofagasta,4026.4940882632
2019-12-01,2019,4,Antofagasta,4260.8772419825
2020-03-01,2020,1,Antofagasta,3880.4909150714
2020-06-01,2020,2,Antofagasta,3796.4757169702
2020-09-01,2020,3,Antofagasta,3829.9092130852
2020-12-01,2020,4,Antofagasta,4182.2786310809
2021-03-01,2021,1,Antofagasta,3724.4741518175
2021-06-01,2021,2,Antofagasta,3857.0917606216
2021-09-01,2021,3,Antofagasta,3784.4313910219
2021-12-01,2021,4,Antofagasta,4171.0485206942
2022-03-01,2022,1,Antofagasta,3564.7021245876
2022-06-01,2022,2,Antofagasta,3896.0054315662
2022-09-01,2022,3,Antofagasta,3733.7105320291
2022-12-01,2022,4,Antofagasta,4269.6328408328
2023-03-01,2023,1,Antofagasta,3666.8604349855
2023-06-01,2023,2,Antofagasta,3899.4725135268
2023-09-01,2023,3,Antofagasta,4101.5764659566
2023-12-01,2023,4,Antofagasta,4439.4322089249
2024-03-01,2024,1,Antofagasta,4039.421128294
2024-06-01,2024,2,Antofagasta,4208.0926824169
2024-09-01,2024,3,Antofagasta,4422.5725434584
2024-12-01,2024,4,Antofagasta,4948.2896597001
2025-03-01,2025,1,Antofagasta,4230.8783968366
2025-06-01,2025,2,Antofagasta,4465.6375682535
2025-09-01,2025,3,Antofagasta,4419.6169279123
2025-12-01,2025,4,Antofagasta,4777.119712945
2026-03-01,2026,1,Antofagasta,4006.3234201107
2013-03-01,2013,1,Arica y Parinacota,285.36872786345
2013-06-01,2013,2,Arica y Parinacota,317.00816096204
2013-09-01,2013,3,Arica y Parinacota,344.37511268088
2013-12-01,2013,4,Arica y Parinacota,333.59351612795
2014-03-01,2014,1,Arica y Parinacota,293.19947794208
2014-06-01,2014,2,Arica y Parinacota,339.65746364637
2014-09-01,2014,3,Arica y Parinacota,329.01293986334
2014-12-01,2014,4,Arica y Parinacota,343.54949708098
2015-03-01,2015,1,Arica y Parinacota,296.65582427351
2015-06-01,2015,2,Arica y Parinacota,328.82448199809
2015-09-01,2015,3,Arica y Parinacota,353.85682802502
2015-12-01,2015,4,Arica y Parinacota,358.12627744052
2016-03-01,2016,1,Arica y Parinacota,303.44013032785
2016-06-01,2016,2,Arica y Parinacota,327.89312416209
2016-09-01,2016,3,Arica y Parinacota,361.35890813385
2016-12-01,2016,4,Arica y Parinacota,360.84700652329
2017-03-01,2017,1,Arica y Parinacota,319.00417887312
2017-06-01,2017,2,Arica y Parinacota,352.5001944605
2017-09-01,2017,3,Arica y Parinacota,369.32076307995
2017-12-01,2017,4,Arica y Parinacota,367.92577015922
2018-03-01,2018,1,Arica y Parinacota,331.17797273256
2018-06-01,2018,2,Arica y Parinacota,346.83194978311
2018-09-01,2018,3,Arica y Parinacota,360.59420872408
2018-12-01,2018,4,Arica y Parinacota,393.06103421658
2019-03-01,2019,1,Arica y Parinacota,313.80365081759
2019-06-01,2019,2,Arica y Parinacota,357.22737762119
2019-09-01,2019,3,Arica y Parinacota,365.84886403718
2019-12-01,2019,4,Arica y Parinacota,382.08162152872
2020-03-01,2020,1,Arica y Parinacota,323.65119181535
2020-06-01,2020,2,Arica y Parinacota,305.18438901224
2020-09-01,2020,3,Arica y Parinacota,313.3602169399
2020-12-01,2020,4,Arica y Parinacota,386.30965773196
2021-03-01,2021,1,Arica y Parinacota,332.31051058683
2021-06-01,2021,2,Arica y Parinacota,385.31937459273
2021-09-01,2021,3,Arica y Parinacota,392.18549763668
2021-12-01,2021,4,Arica y Parinacota,443.02005590745
2022-03-01,2022,1,Arica y Parinacota,369.64489048637
2022-06-01,2022,2,Arica y Parinacota,425.611261794
2022-09-01,2022,3,Arica y Parinacota,427.86413439816
2022-12-01,2022,4,Arica y Parinacota,440.23893197388
2023-03-01,2023,1,Arica y Parinacota,372.30230836046
2023-06-01,2023,2,Arica y Parinacota,405.81244945489
2023-09-01,2023,3,Arica y Parinacota,431.11417685884
2023-12-01,2023,4,Arica y Parinacota,475.28907043838
2024-03-01,2024,1,Arica y Parinacota,402.4234506104
2024-06-01,2024,2,Arica y Parinacota,434.60973064337
2024-09-01,2024,3,Arica y Parinacota,449.57560463843
2024-12-01,2024,4,Arica y Parinacota,476.91739447809
2025-03-01,2025,1,Arica y Parinacota,417.07365640571
2025-06-01,2025,2,Arica y Parinacota,461.28073989891
2025-09-01,2025,3,Arica y Parinacota,482.63569972072
2025-12-01,2025,4,Arica y Parinacota,495.70664475868
2026-03-01,2026,1,Arica y Parinacota,409.229661472
2013-03-01,2013,1,Atacama,882.84778355134
2013-06-01,2013,2,Atacama,851.18665629085
2013-09-01,2013,3,Atacama,872.35400843442
2013-12-01,2013,4,Atacama,984.61914312471
2014-03-01,2014,1,Atacama,938.1770357688
2014-06-01,2014,2,Atacama,882.79426568544
2014-09-01,2014,3,Atacama,926.93123231657
2014-12-01,2014,4,Atacama,989.36594987209
2015-03-01,2015,1,Atacama,935.34346171491
2015-06-01,2015,2,Atacama,871.92207569114
2015-09-01,2015,3,Atacama,872.5878361492
2015-12-01,2015,4,Atacama,972.68122290685
2016-03-01,2016,1,Atacama,982.28714324555
2016-06-01,2016,2,Atacama,909.41686318526
2016-09-01,2016,3,Atacama,915.88645309517
2016-12-01,2016,4,Atacama,986.33282618366
2017-03-01,2017,1,Atacama,959.18747085713
2017-06-01,2017,2,Atacama,902.17972858394
2017-09-01,2017,3,Atacama,945.51130639031
2017-12-01,2017,4,Atacama,953.44329579719
2018-03-01,2018,1,Atacama,921.72858009432
2018-06-01,2018,2,Atacama,897.5607252153
2018-09-01,2018,3,Atacama,895.84107582351
2018-12-01,2018,4,Atacama,956.31003013224
2019-03-01,2019,1,Atacama,857.18306619739
2019-06-01,2019,2,Atacama,856.72625436961
2019-09-01,2019,3,Atacama,892.6585808296
2019-12-01,2019,4,Atacama,906.10310219032
2020-03-01,2020,1,Atacama,895.94026241281
2020-06-01,2020,2,Atacama,859.6920643635
2020-09-01,2020,3,Atacama,856.24534978907
2020-12-01,2020,4,Atacama,913.29584657996
2021-03-01,2021,1,Atacama,940.85209811156
2021-06-01,2021,2,Atacama,973.23631265094
2021-09-01,2021,3,Atacama,954.76162275922
2021-12-01,2021,4,Atacama,1076.7272319527
2022-03-01,2022,1,Atacama,998.47184453922
2022-06-01,2022,2,Atacama,986.27422523442
2022-09-01,2022,3,Atacama,917.03063938285
2022-12-01,2022,4,Atacama,1062.6333365247
2023-03-01,2023,1,Atacama,974.94865898765
2023-06-01,2023,2,Atacama,1004.4267390421
2023-09-01,2023,3,Atacama,968.66002046392
2023-12-01,2023,4,Atacama,1068.9171340036
2024-03-01,2024,1,Atacama,1019.5471400233
2024-06-01,2024,2,Atacama,966.53944343152
2024-09-01,2024,3,Atacama,1019.1385374337
2024-12-01,2024,4,Atacama,1135.231169719
2025-03-01,2025,1,Atacama,1136.1638555935
2025-06-01,2025,2,Atacama,1145.4388099822
2025-09-01,2025,3,Atacama,1147.5741916105
2025-12-01,2025,4,Atacama,1343.7011921597
2026-03-01,2026,1,Atacama,1255.4303708233
