Periodo,subtotal_regionalizado,extrarregional,pib_nacional
2013-03-01,37312.353071623,4008.2554166041,41321.273749074
2013-06-01,38555.374142027,4179.9015311932,42735.554856716
2013-09-01,36778.454593322,4226.4468400985,41002.605912702
2013-12-01,40173.810147958,4633.3271636233,44804.451020395
2014-03-01,38181.689534486,4153.8412057244,42335.652473222
2014-06-01,39239.648944524,4223.8099253459,43464.067346704
2014-09-01,37306.762924355,4232.744383341,41537.76158822
2014-12-01,40855.709390577,4718.5613178472,45571.468176969
2015-03-01,39165.884622121,4228.9946180618,43393.481866992
2015-06-01,40069.159180549,4285.2767225342,44352.871316227
2015-09-01,38156.653478748,4323.151048879,42479.107877871
2015-12-01,41536.363213978,4868.2541183646,46404.389696124
2016-03-01,40377.476550286,4314.2468104473,44688.640755373
2016-06-01,40529.320032696,4386.7428627155,44913.609199325
2016-09-01,38860.180772899,4463.7623422643,43324.523463302
2016-12-01,41830.158451757,4966.8408342628,46799.46706537
2017-03-01,40039.527631304,4494.2652445749,44533.179668086
2017-06-01,40704.095437807,4530.5792714068,45233.978490302
2017-09-01,39564.247916012,4578.8544335959,44142.75886047
2017-12-01,43087.345399074,5169.139674077,48256.45831648
2018-03-01,41928.387228042,4644.961544161,46576.034488594
2018-06-01,42856.500485228,4793.2160563944,47651.639755258
2018-09-01,40494.959572453,4705.3476167387,45198.935866031
2018-12-01,44719.965161151,5291.5297457987,50008.257300084
2019-03-01,42418.170329115,4741.4651976372,47159.635526753
2019-06-01,43545.243326608,4827.9425612348,48373.185887843
2019-09-01,41742.322363451,4775.3202467487,46517.6426102
2019-12-01,43534.303491734,5070.483642114,48604.787133848
2020-03-01,42285.219254838,4686.0657352431,46972.622518497
2020-06-01,37289.208757394,3811.3334976859,41105.689397192
2020-09-01,37755.837929794,4462.9481347981,42216.534684159
2020-12-01,43300.457533426,5359.8588136629,48654.749935154
2021-03-01,42152.734426398,5030.2111006179,47173.76262928
2021-06-01,43467.193096991,5203.5572636622,48660.626908576
2021-09-01,43406.38410693,5696.5850793572,49073.008855048
2021-12-01,48025.664844891,6339.3698711131,54330.435499408
2022-03-01,44372.473904726,5635.2101581509,49984.222355769
2022-06-01,45513.739649105,5474.62638846,50978.12278253
2022-09-01,43735.245502533,5421.9936340025,49140.099184588
2022-12-01,47569.720282273,5686.897146981,53247.496366149
2023-03-01,44846.272494283,5110.7052618425,49960.565598692
2023-06-01,45700.612625974,5084.309555982,50794.447589188
2023-09-01,44740.806130108,5071.8810074606,49817.537792389
2023-12-01,48658.18747193,5489.396645385,54154.119302239
2024-03-01,46576.891607029,5116.6825998464,51699.146361444
2024-06-01,46367.320053563,5018.1494752846,51390.6737201
2024-09-01,45936.242234178,5065.0656709488,51006.888611019
2024-12-01,50876.557598113,5490.606165495,56372.803406628
2025-03-01,48006.321710496,5201.1300172112,53212.50642563
2025-06-01,48138.814821895,5166.7402302169,53309.877468848
2025-09-01,46630.56192655,5238.0265008931,51876.344987102
2025-12-01,51551.849749347,5687.9153914547,57246.764686601
2026-03-01,47631.583965059,5323.3820815145,52958.506401682
